"","Orthoptera","Hemiptera","Lepidoptera","Diptera","Hymenoptera","Coleoptera","Thysanoptera","Amphipoda","Snail","Isopoda","Spider","Pseudoscorpionida"
"Orthoptera",1,0.354876054083568,0.0276785286184423,0.270673242265309,0.120457817228502,0.0155285792112766,0.0130362339914814,0.154242911853095,-0.0283612042780483,0.210480473411007,0.219400697147956,-0.0615678684602379
"Hemiptera",0.354876054083568,1,-0.00398137743047008,0.415318535671533,0.249275809336406,0.13492110119148,0.147041203998213,0.200842410711041,0.0489447357781359,0.391881959670778,0.530635898523272,0.0114139740013723
"Lepidoptera",0.0276785286184423,-0.00398137743047008,1,-0.0669795361013932,-0.00609234129240443,0.0163408457001902,-0.0166820805123142,-0.0176708497589167,-0.0599515443872435,0.0401589744013434,-0.0107823476231719,-0.0162146784162521
"Diptera",0.270673242265309,0.415318535671533,-0.0669795361013932,1,0.240040021471878,0.297053516940283,0.0700481333968126,0.43568310084498,0.0767421165991064,0.154787529348854,0.495345224863909,0.115638626786374
"Hymenoptera",0.120457817228502,0.249275809336406,-0.00609234129240443,0.240040021471878,1,0.200401704456931,0.148949789633706,0.293150113221394,0.106274826472626,0.192978432728481,0.348730268280784,0.047012730261489
"Coleoptera",0.0155285792112766,0.13492110119148,0.0163408457001902,0.297053516940283,0.200401704456931,1,0.0737406297966011,0.433527248901118,0.0826927651814332,0.113948431561836,0.318235507432041,-0.0406286338597162
"Thysanoptera",0.0130362339914814,0.147041203998213,-0.0166820805123142,0.0700481333968126,0.148949789633706,0.0737406297966011,1,0.100826113361109,0.037196312859659,0.168455248911506,0.169384304245189,-0.0511234738852069
"Amphipoda",0.154242911853095,0.200842410711041,-0.0176708497589167,0.43568310084498,0.293150113221394,0.433527248901118,0.100826113361109,1,0.174781103504303,0.14448067640151,0.606373451449055,0.0566842955752389
"Snail",-0.0283612042780483,0.0489447357781359,-0.0599515443872435,0.0767421165991064,0.106274826472626,0.0826927651814332,0.037196312859659,0.174781103504303,1,0.254200654801431,0.0814060317338816,-0.0768049381889061
"Isopoda",0.210480473411007,0.391881959670778,0.0401589744013434,0.154787529348854,0.192978432728481,0.113948431561836,0.168455248911506,0.14448067640151,0.254200654801431,1,0.284797164430627,-0.132863086366652
"Spider",0.219400697147956,0.530635898523272,-0.0107823476231719,0.495345224863909,0.348730268280784,0.318235507432041,0.169384304245189,0.606373451449055,0.0814060317338816,0.284797164430627,1,0.117115400717936
"Pseudoscorpionida",-0.0615678684602379,0.0114139740013723,-0.0162146784162521,0.115638626786374,0.047012730261489,-0.0406286338597162,-0.0511234738852069,0.0566842955752389,-0.0768049381889061,-0.132863086366652,0.117115400717936,1
