ID,State,Site,Treatment,Ex.Cont.Number,Date,Year,SolarDay,Period,Taxa,Abundance
286,ME,Asparagus,Control,1,5/28/2014,2014,158,1,Orthoptera,0
287,ME,Asparagus,Control,2,5/28/2014,2014,158,1,Orthoptera,0
288,ME,Asparagus,Control,3,5/28/2014,2014,158,1,Orthoptera,0
291,ME,Asparagus,Control,3,5/28/2014,2014,158,1,Orthoptera,0
292,ME,Bunny,Control,3,5/28/2014,2014,158,1,Orthoptera,0
293,ME,Asparagus,Control,1,5/28/2014,2014,158,1,Orthoptera,0
294,ME,Asparagus,Control,2,5/28/2014,2014,158,1,Orthoptera,0
295,ME,Bunny,Control,3,5/28/2014,2014,158,1,Orthoptera,0
307,ME,Bunny,Control,1,5/28/2014,2014,158,1,Orthoptera,0
308,ME,Bunny,Control,2,5/28/2014,2014,158,1,Orthoptera,0
314,ME,Bunny,Control,1,5/28/2014,2014,158,1,Orthoptera,0
315,ME,Bunny,Control,2,5/28/2014,2014,158,1,Orthoptera,0
298,ME,Rachel Carson,Control,3,6/6/2014,2014,167,1,Orthoptera,0
299,NH,Chapman,Control,3,6/6/2014,2014,167,1,Orthoptera,0
301,NH,Chapman,Control,3,6/6/2014,2014,167,1,Orthoptera,0
302,ME,Rachel Carson,Control,3,6/6/2014,2014,167,1,Orthoptera,1
320,NH,Chapman,Control,1,6/6/2014,2014,167,1,Orthoptera,0
321,NH,Chapman,Control,2,6/6/2014,2014,167,1,Orthoptera,0
324,NH,Chapman,Control,1,6/6/2014,2014,167,1,Orthoptera,1
325,NH,Chapman,Control,2,6/6/2014,2014,167,1,Orthoptera,0
341,ME,Rachel Carson,Control,2,6/6/2014,2014,167,1,Orthoptera,0
344,ME,Rachel Carson,Control,1,6/6/2014,2014,167,1,Orthoptera,0
345,ME,Rachel Carson,Control,1,6/6/2014,2014,167,1,Orthoptera,1
346,ME,Rachel Carson,Control,2,6/6/2014,2014,167,1,Orthoptera,0
300,CT,Barn Island,Control,1,6/10/2014,2014,171,1,Orthoptera,3
303,CT,Barn Island,Control,1,6/10/2014,2014,171,1,Orthoptera,3
304,CT,Barn Island,Control,3,6/10/2014,2014,171,1,Orthoptera,5
305,CT,Barn Island,Control,3,6/10/2014,2014,171,1,Orthoptera,8
380,CT,Barn Island,Control,2,6/10/2014,2014,171,1,Orthoptera,0
381,CT,Barn Island,Control,2,6/10/2014,2014,171,1,Orthoptera,0
306,CT,Hammo,Control,3,6/11/2014,2014,172,1,Orthoptera,1
309,RI,Sachuest,Control,3,6/11/2014,2014,172,1,Orthoptera,0
312,RI,Sachuest,Control,3,6/11/2014,2014,172,1,Orthoptera,0
