Site,State,Date,Year,SolarDay,Period,EC,Number,Taxa,Mass
Bunny,ME,5/28/2014,2014,158,1,excolsure,1,Amphipod,0
Bunny,ME,5/28/2014,2014,158,1,control,1,Amphipod,0
Bunny,ME,5/28/2014,2014,158,1,excolsure,2,Amphipod,0
Bunny,ME,5/28/2014,2014,158,1,control,2,Amphipod,0
Asparagus,ME,5/28/2014,2014,158,1,excolsure,1,Amphipod,0
Asparagus,ME,5/28/2014,2014,158,1,control,1,Amphipod,0
Asparagus,ME,5/28/2014,2014,158,1,excolsure,2,Amphipod,0
Asparagus,ME,5/28/2014,2014,158,1,control,2,Amphipod,0
Bunny,ME,5/28/2014,2014,158,1,excolsure,3,Amphipod,0
Bunny,ME,5/28/2014,2014,158,1,control,3,Amphipod,0.004
Asparagus,ME,5/28/2014,2014,158,1,excolsure,3,Amphipod,0
Asparagus,ME,5/28/2014,2014,158,1,control,3,Amphipod,0
Rachel Carson,ME,6/6/2014,2014,167,1,excolsure,1,Amphipod,0
Rachel Carson,ME,6/6/2014,2014,167,1,control,1,Amphipod,0
Rachel Carson,ME,6/6/2014,2014,167,1,excolsure,2,Amphipod,0
Rachel Carson,ME,6/6/2014,2014,167,1,control,2,Amphipod,0
Chapman,ME,6/6/2014,2014,167,1,excolsure,1,Amphipod,0
Chapman,ME,6/6/2014,2014,167,1,control,1,Amphipod,0
Chapman,ME,6/6/2014,2014,167,1,excolsure,2,Amphipod,0.007
Chapman,ME,6/6/2014,2014,167,1,control,2,Amphipod,0
Rachel Carson,ME,6/6/2014,2014,167,1,excolsure,3,Amphipod,0
Rachel Carson,ME,6/6/2014,2014,167,1,control,3,Amphipod,0
Chapman,NH,6/6/2014,2014,167,1,excolsure,3,Amphipod,0
Chapman,NH,6/6/2014,2014,167,1,control,3,Amphipod,0
Barn Island,CT,6/10/2014,2014,171,1,excolsure,1,Amphipod,0.07
Barn Island,CT,6/10/2014,2014,171,1,control,1,Amphipod,0.033
Barn Island,CT,6/10/2014,2014,171,1,excolsure,2,Amphipod,0.034
Barn Island,CT,6/10/2014,2014,171,1,control,2,Amphipod,0.068
Barn Island,CT,6/10/2014,2014,171,1,excolsure,3,Amphipod,0.017
Barn Island,CT,6/10/2014,2014,171,1,control,3,Amphipod,0.064
Hammo,CT,6/11/2014,2014,172,1,excolsure,1,Amphipod,0.007
Hammo,CT,6/11/2014,2014,172,1,control,1,Amphipod,0.001
Hammo,CT,6/11/2014,2014,172,1,excolsure,2,Amphipod,0.009
Hammo,CT,6/11/2014,2014,172,1,control,2,Amphipod,0.001
Sachuest,RI,6/11/2014,2014,172,1,excolsure,1,Amphipod,0.041
Sachuest,RI,6/11/2014,2014,172,1,control,1,Amphipod,0
