ID,State ,Site,Treatment,Ex/Cont Number,Date,Year,SolarDay,Period,Orthoptera,Hemiptera,Lepidoptera,Diptera,Hymenoptera,Coleoptera,Thysanoptera,Amphipoda,Snail,Isopoda,Spider,Pseudoscorpionida,Unknown,Total,Notes
286,ME,Asparagus,Control,1,5/28/2014,2014,158,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
287,ME,Asparagus,Control,2,5/28/2014,2014,158,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,
288,ME,Asparagus,Control,3,5/28/2014,2014,158,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
291,ME,Asparagus,Control,3,5/28/2014,2014,158,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
292,ME,Bunny,Control,3,5/28/2014,2014,158,1,0,0,0,0,0,0,0,1,0,1,1,0,0,3,
293,ME,Asparagus,Control,1,5/28/2014,2014,158,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
294,ME,Asparagus,Control,2,5/28/2014,2014,158,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,
295,ME,Bunny,Control,3,5/28/2014,2014,158,1,0,3,0,0,0,1,0,0,0,0,1,0,0,5,
307,ME,Bunny,Control,1,5/28/2014,2014,158,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,
308,ME,Bunny,Control,2,5/28/2014,2014,158,1,0,5,0,0,0,0,0,0,0,0,0,0,0,5,
314,ME,Bunny,Control,1,5/28/2014,2014,158,1,0,0,0,0,0,0,0,0,3,1,1,0,0,5,
315,ME,Bunny,Control,2,5/28/2014,2014,158,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,
298,ME,Rachel Carson,Control,3,6/6/2014,2014,167,1,0,50,0,0,2,0,0,0,6,1,5,0,0,64,
299,NH,Chapman,Control,3,6/6/2014,2014,167,1,0,1,0,0,0,0,0,0,0,0,7,0,0,8,
301,NH,Chapman,Control,3,6/6/2014,2014,167,1,0,4,0,0,1,0,0,0,2,3,2,0,1,13,
302,ME,Rachel Carson,Control,3,6/6/2014,2014,167,1,1,221,0,2,0,0,0,0,3,18,18,0,1,264,
320,NH,Chapman,Control,1,6/6/2014,2014,167,1,0,0,0,0,0,0,0,0,1,0,6,0,1,8,
321,NH,Chapman,Control,2,6/6/2014,2014,167,1,0,0,0,0,0,0,0,0,3,0,14,0,0,17,
324,NH,Chapman,Control,1,6/6/2014,2014,167,1,1,4,0,10,0,0,0,0,5,0,3,0,0,23,
325,NH,Chapman,Control,2,6/6/2014,2014,167,1,0,4,0,10,0,0,0,1,6,0,7,0,0,28,
341,ME,Rachel Carson,Control,2,6/6/2014,2014,167,1,0,65,0,0,0,0,0,0,1,2,5,0,0,73,
344,ME,Rachel Carson,Control,1,6/6/2014,2014,167,1,0,33,0,0,3,0,0,0,12,8,16,0,1,73,
345,ME,Rachel Carson,Control,1,6/6/2014,2014,167,1,1,169,0,1,0,0,0,0,3,5,4,0,0,183,
346,ME,Rachel Carson,Control,2,6/6/2014,2014,167,1,0,250,0,0,0,0,0,0,2,2,4,0,0,258,
300,CT,Barn Island,Control,1,6/10/2014,2014,171,1,3,61,0,2,0,3,0,53,17,2,35,0,0,176,
303,CT,Barn Island,Control,1,6/10/2014,2014,171,1,3,13,0,3,0,2,0,57,49,19,13,0,0,159,
304,CT,Barn Island,Control,3,6/10/2014,2014,171,1,5,23,0,4,1,0,0,23,69,3,8,0,1,137,
305,CT,Barn Island,Control,3,6/10/2014,2014,171,1,8,72,0,0,4,16,0,59,53,0,43,0,0,255,
380,CT,Barn Island,Control,2,6/10/2014,2014,171,1,0,56,0,2,1,12,0,67,67,0,27,0,0,232,
381,CT,Barn Island,Control,2,6/10/2014,2014,171,1,0,14,0,4,1,0,0,17,69,10,5,0,0,120,
306,CT,Hammo,Control,3,6/11/2014,2014,172,1,1,238,0,4,0,0,0,8,24,5,6,0,1,287,
309,RI,Sachuest,Control,3,6/11/2014,2014,172,1,0,52,0,4,3,3,0,95,0,0,16,0,20,193,
312,RI,Sachuest,Control,3,6/11/2014,2014,172,1,0,11,0,3,0,0,0,5,0,1,9,0,0,29,
313,CT,Hammo,Control,3,6/11/2014,2014,172,1,0,83,0,0,0,1,0,2,43,1,2,0,0,132,
334,CT,Hammo,Control,1,6/11/2014,2014,172,1,0,36,0,5,0,0,0,1,22,1,4,0,0,69,
335,CT,Hammo,Control,2,6/11/2014,2014,172,1,0,23,0,4,1,0,0,6,1,0,11,0,0,46,
